#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name;Adjustment coefficient ind.
FRCLIM000320;11-12-2025;;FRCLIM000320;FR;PBT4G;Euronext PAB Transatlantic 40 GR;XPAR;;12544.40;12610.06;12610.05674928;;;;;FRCLIM000304;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000312;11-12-2025;;FRCLIM000312;FR;PBT4N;Euronext PAB Transatlantic 40 NR;XPAR;;11033.81;11091.56;11091.55831917;;;;;FRCLIM000304;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000304;11-12-2025;;FRCLIM000304;FR;PBT4P;Euronext PAB Transatlantic 40;XPAR;991440.980449313;7677.20;7717.38;7717.37813036;7651324940.05857878;40;EUR;1;;FRCLIM000320;FRCLIM000312;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
FRCLIM000296;11-12-2025;;FRCLIM000296;FR;PBT50;Euronext PAB Transatlantic 60 D50;XPAR;;1007.74;1007.6;1007.59898201;;;;;FRCLIM000270;;;;;;ECB;TR4 Dividend Return;Indices;Points;50;1;365;0;;CALCULATED
FRCLIM000288;11-12-2025;;FRCLIM000288;FR;PBT5D;Euronext PAB Transatlantic 60 D5%;XPAR;;4248.53;4247.95;4247.94792079;;;;;FRCLIM000262;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;;CALCULATED
FRCLIM000270;11-12-2025;;FRCLIM000270;FR;PBTAG;Euronext PAB Transatlantic 60 GR;XPAR;;10442.41;10442.41;10442.4138497;;;;;FRCLIM000254;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000262;11-12-2025;;FRCLIM000262;FR;PBTAN;Euronext PAB Transatlantic 60 NR;XPAR;;9430.44;9430.45;9430.44680006;;;;;FRCLIM000254;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000254;11-12-2025;;FRCLIM000254;FR;PBTAP;Euronext PAB Transatlantic 60;XPAR;1002273.6767178;7102.06;7102.06;7102.06148866;7118209280.51178865;60;EUR;1;;FRCLIM000270;FRCLIM000262;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
FRCLIM000221;11-12-2025;;FRCLIM000221;FR;PABTG;Euronext PAB Transatlantic 50 GR;XPAR;;6480.87;6453.82;6453.82372608;;;;;FRCLIM000205;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000213;11-12-2025;;FRCLIM000213;FR;PABTN;Euronext PAB Transatlantic 50 NR;XPAR;;5747.82;5723.84;5723.84176096;;;;;FRCLIM000205;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000205;11-12-2025;;FRCLIM000205;FR;PABTP;Euronext PAB Transatlantic 50;XPAR;1012873.45246984;4152.41;4135.09;4135.08641218;4188319250.56123651;51;EUR;1;;FRCLIM000221;FRCLIM000213;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
FRCLIM000171;11-12-2025;;FRCLIM000171;FR;PABU5;Euronext PAB North America 50 Decrement 5%;XPAR;;3279.16;3260.67;3260.66511206;;;;;FRCLIM000155;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;;CALCULATED
FRCLIM000163;11-12-2025;;FRCLIM000163;FR;PABUG;Euronext PAB North America 50 GR;XPAR;;8164.11;8119.17;8119.16853402;;;;;FRCLIM000148;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000155;11-12-2025;;FRCLIM000155;FR;PABUN;Euronext PAB North America 50 NR;XPAR;;7278.41;7238.34;7238.34158927;;;;;FRCLIM000148;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000148;11-12-2025;;FRCLIM000148;FR;PABUP;Euronext PAB North America 50;XPAR;992441.256576531;5560.25;5529.64;5529.64205962;5487844914.06845306;50;EUR;1;;FRCLIM000163;FRCLIM000155;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
FRCLIM000130;11-12-2025;;FRCLIM000130;FR;TPAB5;EN Transatlantic PAB 50 Decrement 5%;XPAR;;4989.63;4964.6;4964.60308744;;;;;FRCLIM000114;;;;;;ECB;TR4 Dividend Return;Indices;Percentage;.05;1;365;0;;CALCULATED
FRCLIM000122;11-12-2025;;FRCLIM000122;FR;TPABG;EN Transatlantic PAB 50 GR;XPAR;;12203.41;12143.87;12143.86697045;;;;;FRCLIM000106;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000114;11-12-2025;;FRCLIM000114;FR;TPABN;EN Transatlantic PAB 50 NR;XPAR;;11073.93;11019.9;11019.90184712;;;;;FRCLIM000106;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
FRCLIM000106;11-12-2025;;FRCLIM000106;FR;TPABP;EN Transatlantic PAB 50;XPAR;997397.684945309;8498.00;8456.54;8456.54360481;8434537014.07539435;50;EUR;1;;FRCLIM000122;FRCLIM000114;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
FRCLIM000056;11-12-2025;;FRCLIM000056;FR;PFLCW;EN Low Carbon 300 World PAB Proforma;XPAR;480272.347545365;3530.78;3502.35;3502.34985919;1682081788.79764438;301;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
DUMMY00000US;11-12-2025;;DUMMY00000US;NL;DUMUS;DUMMY INDEX US;XAMS;10000;25257.25;25328.1;25328.0995588;253280995.5879834;1353;EUR;1;;;;;;;ECB;EU Price;Indices;;;;;0;;FIXED
DUMMY00DUUSC;11-12-2025;;DUMMY00DUUSC;NL;DUUSC;DUMMY INDEX USD;XAMS;1.2330092130565;1845.59;1856.78;1856.77795395;2289.42432382;26;USD;1;;;;;;;WM ;EU Price;Indices;;;;;0;;FIXED
