#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag;Rate Name;Adjustment coefficient ind.
NO0010890361;17-12-2025;;NO0010890361;NO;OTELN;OBX Telecommunications NR;XOSL;;122.79;122.99;122.98681316;;;;;NO0010890379;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890353;17-12-2025;;NO0010890353;NO;OTELG;OBX Telecommunications GR;XOSL;;2504.52;2508.49;2508.49080914;;;;;NO0010890379;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890346;17-12-2025;;NO0010890346;NO;OTECP;OBX Technology PR;XOSL;1239442803.25709;120.34;119.43;119.4288721;148025256024.15;20;NOK;1;;NO0010890320;NO0010890338;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010890338;17-12-2025;;NO0010890338;NO;OTECN;OBX Technology NR;XOSL;;126.61;125.65;125.65143568;;;;;NO0010890346;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010890320;17-12-2025;;NO0010890320;NO;OTECG;OBX Technology GR;XOSL;;502.56;498.75;498.75149055;;;;;NO0010890346;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865371;17-12-2025;;NO0010865371;NO;OSEER;OSEEXR Index;XOSL;;6337.56;6344.79;6344.79356018;;;;;NO0010892201;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865363;17-12-2025;;NO0010865363;NO;OSEBG;OSEBXG Index;XOSL;;1536.50;1550.51;1550.51097321;;;;;NO0010892193;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865355;17-12-2025;;NO0010865355;NO;OSEBS;OSEBX_STB Index;XOSL;;416.60;420.16;420.15607908;;;;;NO0010892227;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865330;17-12-2025;;NO0010865330;NO;OAAXP;Euronext Expand All-Share Index;XOSL;153654233.363221;24.23;24;24.00022004;3687735410.819;11;NOK;1;;NO0007035384;NO0010865322;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010865322;17-12-2025;;NO0010865322;NO;OAAXN;Euronext Expand All-Share Index NR;XOSL;;68.52;67.88;67.87891162;;;;;NO0010865330;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865314;17-12-2025;;NO0010865314;NO;OSESP;OSESX Small Cap_PR;XOSL;397942173.953663;532.69;533.22;533.22053875;212190940386.5016;130;NOK;1;;NO0007035343;NO0010865306;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010865306;17-12-2025;;NO0010865306;NO;OSESN;OSESX Small Cap_NR;XOSL;;1129.07;1130.2;1130.20011059;;;;;NO0010865314;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865298;17-12-2025;;NO0010865298;NO;OSEMP;OSEMX Mid Cap_PR;XOSL;1033478306.22769;237.71;237.98;237.98337747;245950657855.4992;95;NOK;1;;NO0010735640;NO0010865280;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010865280;17-12-2025;;NO0010865280;NO;OSEMN;OSEMX Mid Cap_NR;XOSL;;359.07;359.49;359.48528611;;;;;NO0010865298;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865272;17-12-2025;;NO0010865272;NO;OSEFP;OSEFX Mutual Fund_PR;XOSL;3062513581.42606;555.52;559.89;559.89055965;1714672443044.4045249;60;NOK;1;;NO0007035335;NO0010865264;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010865264;17-12-2025;;NO0010865264;NO;OSEFN;OSEFX Mutual Fund_NR;XOSL;;1337.80;1348.33;1348.32910625;;;;;NO0010865272;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865256;17-12-2025;;NO0010865256;NO;OSEBP;OSEBX Benchmark_PR;XOSL;3345966232.79296;552.89;557.47;557.46656696;1865264308967.7705422;60;NOK;1;;NO0007035327;NO0010865249;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010865249;17-12-2025;;NO0010865249;NO;OSEBN;OSEBX Benchmark_NR;XOSL;;1368.64;1379.97;1379.97361493;;;;;NO0010865256;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865231;17-12-2025;;NO0010865231;NO;OSEAP;OSE All share_PR;XOSL;6095999911.82457;622.29;627.6;627.6023093;3825863622167.9615;183;NOK;1;;NO0007033900;NO0010865223;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010865223;17-12-2025;;NO0010865223;NO;OSEAN;OSE All share_NR;XOSL;;1577.27;1590.74;1590.7441372;;;;;NO0010865231;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865215;17-12-2025;;NO0010865215;NO;OBSHP;OBSHX Shipping_PR;XOSL;578197103.545025;154.37;154.48;154.47863568;89319099707.3565;15;NOK;1;;NO0010771934;NO0010865207;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010865207;17-12-2025;;NO0010865207;NO;OBSHN;OBSHX Shipping_NR;XOSL;;377.56;377.83;377.8298576;;;;;NO0010865215;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865199;17-12-2025;;NO0010865199;NO;OBSFP;OBSFX Seafood_PR;XOSL;231978124.689691;414.50;419.63;419.63083497;97345174159.24953697;8;NOK;1;;NO0010760663;NO0010865181;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0010865181;17-12-2025;;NO0010865181;NO;OBSFN;OBSFX Seafood_NR;XOSL;;663.55;671.75;671.7518179;;;;;NO0010865199;;;;0;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010865173;17-12-2025;;NO0010865173;NO;OBXU;OBX Uncapped Total Return Index;XOSL;;1474.32;1488.77;1488.77152242;;;;;NO0010892151;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010771934;17-12-2025;;NO0010771934;NO;OBSHX;Oslo Børs Shipping Index;XOSL;;424.74;425.04;425.03711997;;;;;NO0010865215;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010760663;17-12-2025;;NO0010760663;NO;OBSFX;Oslo Børs Seafood Index;XOSL;;736.22;745.33;745.32855991;;;;;NO0010865199;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010735640;17-12-2025;;NO0010735640;NO;OSEMX;Oslo Børs Mid Cap Index;XOSL;;390.61;391.06;391.05689948;;;;;NO0010865298;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010590086;17-12-2025;;NO0010590086;NO;OBOSX;Oslo Børs OBX Oil Service Index;XOSL;;70.94;70.94;70.94294674;;;;;NO0010890650;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010580640;17-12-2025;;NO0010580640;NO;SSSHX;OSLO Shipping Index;XOSL;;1001.11;1001.39;1001.39366769;;;;;NO0010892185;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010580624;17-12-2025;;NO0010580624;NO;SSSFX;OSLO Seafood Index;XOSL;;1915.00;1939.64;1939.64372927;;;;;NO0010892177;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0010580590;17-12-2025;;NO0010580590;NO;SSENX;OSLO Energy Index;XOSL;;338.90;344.26;344.26158373;;;;;NO0010892169;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0007035384;17-12-2025;;NO0007035384;NO;OAAX;Euronext Expand All-Share Index GR;XOSL;;84.45;83.66;83.66239073;;;;;NO0010865330;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0007035376;17-12-2025;;NO0007035376;NO;OBXP;OBX Price Index;XOSL;2123765659.87918;667.29;674.1;674.09625099;1431622469303.0950618;25;NOK;1;;NO0000000021;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0007035343;17-12-2025;;NO0007035343;NO;OSESX;Oslo Børs Small Cap Index_GI;XOSL;;1211.84;1213.06;1213.05761088;;;;;NO0010865314;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0007035335;17-12-2025;;NO0007035335;NO;OSEFX;Oslo Børs Mutual Fund Index_GI;XOSL;;1610.91;1623.59;1623.59268713;;;;;NO0010865272;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0007035327;17-12-2025;;NO0007035327;NO;OSEBX;Oslo Børs Benchmark Index_GI;XOSL;;1635.99;1649.54;1649.54261952;;;;;NO0010865256;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0007033900;17-12-2025;;NO0007033900;NO;OSEAX;Oslo Børs All-share Index_GI;XOSL;;1877.29;1893.32;1893.32060196;;;;;NO0010865231;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0007INOBXP;17-12-2025;;NO000703537I;NO;OIRUT;OBX PRICE REUT INTERN;XOSL;2123765659.87918;667.29;674.1;674.09625099;1431622469303.0950618;25;NOK;1;;NO000000002I;;;;;ECB;EU Price;Indices;;;;;0;;CALCULATED
NO0000000062;17-12-2025;;NO0000000062;NO;OSEEX;Oslo Børs Equity Certificate Index;XOSL;;6647.01;6648.56;6648.56281126;;;;;NO0010890668;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO0000000021;17-12-2025;;NO0000000021;NO;OBX;OBX Total Return Index;XOSL;;1550.93;1566.75;1566.74908339;;;;;NO0007035376;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
NO00000INOBX;17-12-2025;;NO000000002I;NO;OIRUG;OBX TR REUT INTERN;XOSL;;1552.05;1567.88;1567.88096966;;;;;NO000703537I;;;0;;;ECB;TR1;Indices;;;;;0;;CALCULATED
