#Symbol;System date;Adjust Reason;Isin Code;Country;Mnemo;Name;MIC;ICBCode;Close Prc;Adj Closing price;Net Div;Gross Div;Index;Shares;Free float-Coeff;Capping Factor-Coeff;Currency;FX/Index Ccy;Wght;Index Mkt Cap;Pct Wght;Dividend Rate;Source net div;Source gross div;Direct WM rate;Closing MPR;Day Decrement;Decrements;Dates
FRVIA.PA;03-04-2025;;FR0000121147;FR;FRVIA;FORVIA;XPAR;40101025;6.912;6.91200000;0;0;DEZPT;197089340;0.85;1;EUR;1;0.85000000;1157939290.368;0.01813;;;;;0;0;;
FREG.DE;03-04-2025;;DE0005785604;DE;FREG;FRESENIUS SE & CO;XETR;20101025;39.5;39.50000000;0;0;DEZPT;563237300;0.75;1;EUR;1;0.75000000;16685905012.5;0.26123;;;;;0;0;;
FRAG.DE;03-04-2025;;DE0005773303;DE;FRAG;FRAPORT;XETR;50206060;57;57.00000000;0;0;DEZPT;92468704;0.4;1;EUR;1;0.40000000;2108286451.2;0.03301;;;;;0;0;;
FPE3_p.DE;03-04-2025;;DE000A3E5D64;DE;FPE3;FUCHS SE PREF;XETR;55201020;44.12;44.12000000;0;0;DEZPT;65500000;1;1;EUR;1;1.00000000;2889860000;0.04524;;;;;0;0;;
FOUG.PA;03-04-2025;;FR0000130452;FR;FGR;EIFFAGE;XPAR;50101010;109.25;109.25000000;0;0;DEZPT;98000000;0.75;1;EUR;1;0.75000000;8029875000;0.12571;;;;;0;0;;
FORTUM.HE;03-04-2025;;FI0009007132;FI;FORTU;FORTUM OYJ;XHEL;65101015;13.955;13.95500000;0;0;DEZPT;897264470;0.5;1;EUR;1;0.50000000;6260662839.425;0.09802;;;;;0;0;;
FNTGn.DE;03-04-2025;;DE000A0Z2ZZ5;DE;FNTGN;FREENET AG;XETR;15102015;35.18;35.18000000;0;0;DEZPT;118900600;1;1;EUR;1;1.00000000;4182923108;0.06549;;;;;0;0;;
FMEG.DE;03-04-2025;;DE0005785802;DE;FMEG;FRESENIUS MEDICAL;XETR;20101025;45.57;45.57000000;0;0;DEZPT;293413450;0.7;1;EUR;1;0.70000000;9359595641.55;0.14653;;;;;0;0;;
FLUI.MC;03-04-2025;;ES0137650018;ES;FLUI;FLUIDRA;XMAD;50101035;21.5;21.50000000;0;0;DEZPT;192129070;0.45;1;EUR;1;0.45000000;1858848752.25;0.0291;;;;;0;0;;
FLOW.AS;03-04-2025;;BMG3602E1084;NL;FLOW;FLOW TRADERS;XAMS;30202015;27.06;27.06000000;0;0;DEZPT;45671645;0.7;1;EUR;1;0.70000000;865112299.59;0.01354;;;;;0;0;;
FIMI.MI;03-04-2025;;IT0003365613;IT;FIMI;FIERA MILANO SPA;MTAA;11111111;5.11;5.11000000;0;0;DEZPT;71917829;1;1;EUR;1;1.00000000;367500106.19;0.00575;;;;;0;0;;
FIA1S.HE;03-04-2025;;FI4000567029;FI;FIA1S;FINNAIR OYJ;XHEL;40501010;3.1985;3.19850000;0;0;DEZPT;204811390;0.45;1;EUR;1;0.45000000;294790153.91175;0.00462;;;;;0;0;;
FER.MC;03-04-2025;;NL0015001FS8;ES;FER;FERROVIAL;XMAD;50101010;42.32;42.32000000;0;0;DEZPT;729559940;0.65;1;EUR;1;0.65000000;20068734829.52;0.31419;;;;;0;0;;
FDJU.PA;03-04-2025;;FR0013451333;FR;FDJU;FDJ UNITED;XPAR;40501020;29.24;29.24000000;0;0;DEZPT;185270000;0.65;1;EUR;1;0.65000000;3521241620;0.05513;;;;;0;0;;
FCT.MI;03-04-2025;;IT0005599938;IT;FCT;FINCANTIERI S.P.A.;MTAA;50204020;10.32;10.32000000;0;0;DEZPT;323104266;0.3;1;EUR;1;0.30000000;1000330807.536;0.01566;;;;;0;0;;
FBK.MI;03-04-2025;;IT0000072170;IT;FBK;FINECOBANK;MTAA;30101010;18.34;18.34000000;0;0;DEZPT;610999427;1;1;EUR;1;1.00000000;11205729491.18;0.17544;;;;;0;0;;
FAGRO.BR;03-04-2025;;BE0003874915;BE;FAGR;FAGRON;XBRU;20102010;19.22;19.22000000;0;0;DEZPT;73228904;0.9;1;EUR;1;0.90000000;1266713581.392;0.01983;;;;;0;0;;
FAE.MC;03-04-2025;;ES0134950F36;ES;FAE;FAES FARMA SA;XMAD;20103015;4.03;4.03000000;0;0;DEZPT;316223940;0.95;1;EUR;1;0.95000000;1210663354.29;0.01895;;;;;0;0;;
EXOR.AS;03-04-2025;;NL0012059018;NL;EXO;EXOR NV;XAMS;30202000;82.75;82.75000000;0;0;DEZPT;220984247;0.45;1;EUR;1;0.45000000;8228900897.6625;0.12883;;;;;0;0;;
EXHO.PA;03-04-2025;;FR0000121220;FR;SW;SODEXO;XPAR;40501040;59.15;59.15000000;0;0;DEZPT;147454887;0.55;1;EUR;1;0.55000000;4797076111.3275;0.0751;;;;;0;0;;
EVTG.DE;03-04-2025;;DE0005664809;DE;EVTG;EVOTEC SE;XETR;20103010;5.905;5.90500000;0;0;DEZPT;177763520;0.75;1;EUR;1;0.75000000;787270189.2;0.01233;;;;;0;0;;
EVNV.VI;03-04-2025;;AT0000741053;AT;EVNV;EVN AG;WBAH;65102000;22;22.00000000;0;0;DEZPT;179878400;0.2;1;EUR;1;0.20000000;791464960;0.01239;;;;;0;0;;
EVKn.DE;03-04-2025;;DE000EVNK013;DE;EVKN;EVONIK INDUSTRIES AG;XETR;55201020;20.11;20.11000000;0;0;DEZPT;466000000;0.5;1;EUR;1;0.50000000;4685630000;0.07336;;;;;0;0;;
