2024-12-06 09:29:38 - Starting folder monitor...
2024-12-06 09:35:12 - Monitoring stopped
2024-12-06 09:46:25 - Copied TAllEquities_GIS_SOD_STOCK_20241120.csv to destination
2024-12-06 09:46:26 - Copied TAllEquities_GIS_SOD_STOCK_20241121.csv to destination
2024-12-06 09:46:27 - Copied TAllEquities_GIS_SOD_STOCK_20241122.csv to destination
2024-12-06 09:46:29 - Copied TAllEquities_GIS_SOD_STOCK_20241125.csv to destination
2024-12-06 09:46:30 - Copied TAllEquities_GIS_SOD_STOCK_20241126.csv to destination
2024-12-06 09:46:31 - Copied TAllEquities_GIS_SOD_STOCK_20241127.csv to destination
2024-12-06 09:46:32 - Copied TAllEquities_GIS_SOD_STOCK_20241128.csv to destination
2024-12-06 09:46:33 - Copied TAllEquities_GIS_SOD_STOCK_20241129.csv to destination
2024-12-06 09:46:34 - Copied TAllEquities_GIS_SOD_STOCK_20241202.csv to destination
2024-12-06 09:47:15 - Starting folder monitor...
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241107.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241108.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241111.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241112.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241113.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241114.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241115.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241118.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241119.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241120.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241121.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241122.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241125.csv - already exists in destination and is up to date
2024-12-06 09:47:16 - Skipped OsloIndexTrades_20241126.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped OsloIndexTrades_20241127.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped OsloIndexTrades_20241128.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped OsloIndexTrades_20241129.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped OsloIndexTrades_20241202.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped OsloIndexTrades_20241203.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped OsloIndexTrades_20241204.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped TAllEquities_GIS_EOD_INDEX_20241107.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped TAllEquities_GIS_EOD_INDEX_20241108.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped TAllEquities_GIS_EOD_INDEX_20241111.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped TAllEquities_GIS_EOD_INDEX_20241112.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped TAllEquities_GIS_EOD_INDEX_20241113.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped TAllEquities_GIS_EOD_INDEX_20241114.csv - already exists in destination and is up to date
2024-12-06 09:47:17 - Skipped TAllEquities_GIS_EOD_INDEX_20241115.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241118.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241119.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241120.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241121.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241122.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241125.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241126.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241127.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241128.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241129.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241202.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_INDEX_20241203.csv - already exists in destination and is up to date
2024-12-06 09:47:18 - Skipped TAllEquities_GIS_EOD_STOCK_20241107.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241108.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241111.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241112.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241113.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241114.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241115.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241118.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241119.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241120.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241121.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241122.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241125.csv - already exists in destination and is up to date
2024-12-06 09:47:19 - Skipped TAllEquities_GIS_EOD_STOCK_20241126.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_EOD_STOCK_20241127.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_EOD_STOCK_20241128.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_EOD_STOCK_20241129.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_EOD_STOCK_20241202.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_EOD_STOCK_20241203.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_MANUAL_INDEX_20241112.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_MANUAL_STOCK_20241112.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_NXTD_INDEX_20241107.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_NXTD_INDEX_20241108.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_NXTD_INDEX_20241111.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_NXTD_INDEX_20241112.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_NXTD_INDEX_20241113.csv - already exists in destination and is up to date
2024-12-06 09:47:20 - Skipped TAllEquities_GIS_NXTD_INDEX_20241114.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241115.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241118.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241119.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241120.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241121.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241122.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241125.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241126.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241127.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241128.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241129.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241202.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_INDEX_20241203.csv - already exists in destination and is up to date
2024-12-06 09:47:21 - Skipped TAllEquities_GIS_NXTD_STOCK_20241107.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241108.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241111.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241112.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241113.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241114.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241115.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241118.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241119.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241120.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241121.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241122.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241125.csv - already exists in destination and is up to date
2024-12-06 09:47:22 - Skipped TAllEquities_GIS_NXTD_STOCK_20241126.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_NXTD_STOCK_20241127.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_NXTD_STOCK_20241128.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_NXTD_STOCK_20241129.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_NXTD_STOCK_20241202.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_NXTD_STOCK_20241203.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_SOD_INDEX_20241107.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_SOD_INDEX_20241108.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_SOD_INDEX_20241111.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_SOD_INDEX_20241112.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_SOD_INDEX_20241113.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_SOD_INDEX_20241114.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_SOD_INDEX_20241115.csv - already exists in destination and is up to date
2024-12-06 09:47:23 - Skipped TAllEquities_GIS_SOD_INDEX_20241118.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241119.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241120.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241121.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241122.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241125.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241126.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241127.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241128.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241129.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241202.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241203.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_INDEX_20241204.csv - already exists in destination and is up to date
2024-12-06 09:47:24 - Skipped TAllEquities_GIS_SOD_STOCK_20241107.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241108.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241111.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241112.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241113.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241114.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241115.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241118.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241119.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241120.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241121.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241122.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241125.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241126.csv - already exists in destination and is up to date
2024-12-06 09:47:25 - Skipped TAllEquities_GIS_SOD_STOCK_20241127.csv - already exists in destination and is up to date
2024-12-06 09:47:26 - Skipped TAllEquities_GIS_SOD_STOCK_20241128.csv - already exists in destination and is up to date
