#Symbol;System Date;Change;IsinCode;Country;Mnemo;Name;MIC;Divisor;t-1 IV;t0 IV;t0 IV unround;Mkt Cap;Nr of components;Curr;FX;ISIN Underlying Price Index;ISIN Gross Return version;ISIN Net Return version;Effect Gross Total Return;Effect Net Total Return ;Stocks Effect Index;Dividend Currency Type;Calculation Type;Index Type;Return Method;Return Value;Number Of Days;Yearly Days;Dead Flag
NLIX00000991;17-09-2024;;NLIX00000991;FR;HSPCN;Euronext Helios Space Index NR;XPAR;;7424.91;7370.04;7370.03736146;;;;;NLIX00000983;;;;0;;ECB;TR1;Indices;;;;;0
NLIX00000983;17-09-2024;;NLIX00000983;FR;HSPCP;Euronext Helios Space Index;XPAR;91462630.4020555;5924.60;5880.81;5880.81044873;537874392536.5653031;32;EUR;1;;NLIX00001007;NLIX00000991;;;;ECB;EU Price;Indices;;;;;0
NLIX00000975;17-09-2024;;NLIX00000975;FR;HSPAG;Euronext Helios Space All-Share Index GR;XPAR;;7737.81;7681.64;7681.63763248;;;;;NLIX00000959;;;0;;;ECB;TR1;Indices;;;;;0
NLIX00000967;17-09-2024;;NLIX00000967;FR;HSPAN;Euronext Helios Space All-Share Index NR;XPAR;;7384.95;7331.34;7331.33605004;;;;;NLIX00000959;;;;0;;ECB;TR1;Indices;;;;;0
NLIX00000959;17-09-2024;;NLIX00000959;FR;HSPAP;Euronext Helios Space All-Share Index;XPAR;92954762.166666;5892.88;5850.1;5850.10113278;543794759448.3059548;52;EUR;1;;NLIX00000975;NLIX00000967;;;;ECB;EU Price;Indices;;;;;0
NLIX00000942;17-09-2024;;NLIX00000942;NL;ENTG;Euronext Transatlantic GR;XAMS;;6284.73;6289.14;6289.14379627;;;;;NLIX00000926;;;.076465747072;;US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NLIX00000934;17-09-2024;;NLIX00000934;NL;ENTN;Euronext Transatlantic NR;XAMS;;5759.86;5763.87;5763.87158056;;;;;NLIX00000926;;;;.0535260229504;US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;ECB;TR1;Indices;;;;;0
NLIX00000926;17-09-2024;;NLIX00000926;NL;ENTP;Euronext Transatlantic;XAMS;12321656281.8656;4426.51;4429.54;4429.54080458;54579279280493.322915;1002;EUR;1;;NLIX00000942;NLIX00000934;;;;ECB;EU Price;Indices;;;;;0
NLIX00000025;17-09-2024;;NLIX00000025;NL;EDMGU;Euronext Developed Market GR USD;XAMS;;1215.82;1215.56;1215.55775749;;;;;NLIX00000009;;;.01936342281412;;AU000000COH5 US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;WM ;TR1;Indices;;;;;0
NLIX00000017;17-09-2024;;NLIX00000017;NL;EDMNU;Euronext Developed Market NR USD;XAMS;;1199.55;1199.28;1199.2762402;;;;;NLIX00000009;;;;.01393168417885;AU000000COH5 US0320951017 US1720621010 US2788651006 US4461501045 US5128071082 US7458671010 US92537N1081;WM ;TR1;Indices;;;;;0
