#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
NL0000255446;05-05-2025;NL0000255446;NL;EFC1;FTSE EUROFIRST 100;XAMS;5767.03;5865.12;5865.12;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
NL0000255438;05-05-2025;NL0000255438;NL;EF80;FTSE EUROFIRST 80;XAMS;7013.34;7170.73;7170.73;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
NL0000245710;05-05-2025;NL0000245710;NL;E100;FTSE EURO TOP 100;XAMS;4082.58;4156.01;4156.01;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
IE00B2QF4Y48;05-05-2025;IE00B2QF4Y48;IE;ISELV;ISEQ 20 Leverage;XDUB;10548.249;11134.478;11134.47817983;3;20250502;20250505;2;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
GB00BT3FTM91;05-05-2025;GB00BT3FTM91;IT;FTTRF;FTSE MIB Synthetic Dividend Index;XMIL;49784.66;50505.53;50505.53;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
GB00BRBLC266;05-05-2025;GB00BRBLC266;IT;FTCUM;FTSE MIB Cumulative Dividend Index;XMIL;12723.71;12723.71;12723.71;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
GB00BRBLC159;05-05-2025;GB00BRBLC159;IT;FTFUN;FTSE MIB Funding Index;XMIL;543.87;546.13;546.13;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
GB00BNNLHW18;05-05-2025;GB00BNNLHW18;IT;MIB;FTSE MIB INDEX;XMIL;37604.82;38327.94;38327.94;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
FR0013504776;05-05-2025;FR0013504776;FR;CSH15;CAC 40 X15 Short GR;XPAR;0.01;0.01;.01;3;20250502;20250505;15;ESTER;0.02156;0.02156;0.002;0.002;;;;;;;;;1
FR0013504768;05-05-2025;FR0013504768;FR;ALE10;AEX X10 Leverage NR;XPAR;9725.023;11900.078;11900.07754785;3;20250502;20250505;10;ESTER;0.02156;0.02156;0;0;0.003;0.003;;;;;;;0
