#Symbol;System date;Adjust Reason;Isin Code;Country;Mnemo;Name;MIC;ICBCode;Close Prc;Adj Closing price;Net Div;Gross Div;Index;Shares;Free float-Coeff;Capping Factor-Coeff;Currency;FX/Index Ccy;Wght;Index Mkt Cap;Pct Wght;Dividend Rate;Source net div;Source gross div;Direct WM rate;Closing MPR;Day Decrement;Decrements;Dates
NSCNL000AMT7;06-05-2025;;LU1598757687;NL;MT;ARCELORMITTAL SA;XAMS;55102010;26.91;26.91000000;0;0;SAMP;100;1;1;EUR;1;1.00000000;2691;100;;;;;0;0;;
NSCIT0INENI3;06-05-2025;;IT0003132476;IT;ENI;ENI;MTAA;60101000;12.574;12.57400000;0;0;SEIP;100;1;1;EUR;1;1.00000000;1257.4;100;;;;;0;0;;
FR0000073272;06-05-2025;;FR0000073272;FR;SAF;SAFRAN;XPAR;50201010;243.4;243.40000000;0;0;SSFP;100;1;1;EUR;1;1.00000000;24340;100;;;;;0;0;;
GB00BP6MXD84;06-05-2025;;GB00BP6MXD84;NL;SHELL;SHELL PLC;XAMS;60101000;28.765;28.76500000;0;0;SSHP;100;1;1;EUR;1;1.00000000;2876.5;100;;;;;0;0;;
FR0000045072;06-05-2025;;FR0000045072;FR;ACA;CREDIT AGRICOLE;XPAR;30101010;16.56;16.56000000;0;0;SCAP;100;1;1;EUR;1;1.00000000;1656;100;;;;;0;0;;
FR0000120578;06-05-2025;;FR0000120578;FR;SAN;SANOFI;XPAR;20103015;96;96.00000000;0;0;SSAP;100;1;1;EUR;1;1.00000000;9600;100;;;;;0;0;;
FR0000130809;06-05-2025;;FR0000130809;FR;GLE;SOCIETE GENERALE;XPAR;30101010;46.45;46.45000000;0;0;SSGP;100;1;1;EUR;1;1.00000000;4645;100;;;;;0;0;;
FR0000131104;06-05-2025;;FR0000131104;FR;BNP;BNP PARIBAS ACT.A;XPAR;30101010;76.36;76.36000000;0;0;SBNP;100;1;1;EUR;1;1.00000000;7636;100;;;;;0;0;;
FR0000120628;06-05-2025;;FR0000120628;FR;CS;AXA;XPAR;30302010;41.13;41.13000000;0;0;SAXP;100;1;1;EUR;1;1.00000000;4113;100;;;;;0;0;;
FR0000120503;06-05-2025;;FR0000120503;FR;EN;BOUYGUES;XPAR;50101010;37.75;37.75000000;0;0;SBOP;100;1;1;EUR;1;1.00000000;3775;100;;;;;0;0;;
