#Symbol;System Date;IsinCode;Country;Mnemo;Name;MIC;t-1 IV;t0 IV;t0 IV unround;nr of days;Previous date;Today's date;Leverage factor;Name of Interest rate;Previous interest rate;Current interest Rate;REPO previous rate;REPO Rate;Previous Spread;Spread;Name of Season;Start date of season;End date of season;Reset Percentage;Underlying Reset Level/Price List;Reset Timestamp Trigger List;Dead Flag
NL0011936141;05-05-2025;NL0011936141;NL;A12LE;AEX X12 Leverage NR;XAMS;406.677;399.27;399.27018431;3;20250502;20250505;12;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-7.000000;;;0
NL0011515416;05-05-2025;NL0011515416;NL;AE15S;AEX X15 Short GR;XAMS;0.01;0.01;.01;3;20250502;20250505;15;ESTER;0.02156;0.02168;0.002;0.002;;;;;;6.000000;;;1
NL0011515408;05-05-2025;NL0011515408;NL;AE12S;AEX X12 Short GR;XAMS;1182.065;1203.456;1203.45618027;3;20250502;20250505;12;ESTER;0.02156;0.02168;0.002;0.002;;;;;;7.000000;;;0
NL0011515390;05-05-2025;NL0011515390;NL;AE10S;AEX X10 Short GR;XAMS;115.933;117.685;117.68460177;3;20250502;20250505;10;ESTER;0.02156;0.02168;0.002;0.002;;;;;;9.000000;;;0
NL0010661906;05-05-2025;NL0010661906;NL;ITX7S;Italia Leva 7 Short;XAMS;40.964;39.913;39.91336563;3;20250502;20250505;7;ESTER;0.02156;0.02168;0.002;0.002;;;;;;10.000000;;;0
NL0010661898;05-05-2025;NL0010661898;NL;ITX7L;Italia Leva 7 Long;XAMS;14522.988;14896.685;14896.68491107;3;20250502;20250505;7;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-10.000000;;;0
NL0000255446;05-05-2025;NL0000255446;NL;EFC1;FTSE EUROFIRST 100;XAMS;5865.12;5870.3;5870.3;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
NL0000255438;05-05-2025;NL0000255438;NL;EF80;FTSE EUROFIRST 80;XAMS;7170.73;7179.38;7179.38;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
NL0000245710;05-05-2025;NL0000245710;NL;E100;FTSE EURO TOP 100;XAMS;4156.01;4160.83;4160.83;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
IE00B2QF4Y48;05-05-2025;IE00B2QF4Y48;IE;ISELV;ISEQ 20 Leverage;XDUB;11134.478;11132.199;11132.1993233;3;20250502;20250505;2;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-15.000000;;;0
GB00BT3FTM91;05-05-2025;GB00BT3FTM91;IT;FTTRF;FTSE MIB Synthetic Dividend Index;XMIL;50505.53;50650.83;50650.83;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
GB00BRBLC266;05-05-2025;GB00BRBLC266;IT;FTCUM;FTSE MIB Cumulative Dividend Index;XMIL;12723.71;12723.71;12723.71;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
GB00BRBLC159;05-05-2025;GB00BRBLC159;IT;FTFUN;FTSE MIB Funding Index;XMIL;546.13;548.43;548.43;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
GB00BNNLHW18;05-05-2025;GB00BNNLHW18;IT;MIB;FTSE MIB INDEX;XMIL;38327.94;38475.55;38475.55;3;20250502;20250505;0;;0;0;0;0;;;;;;;;;0
FR0013504776;05-05-2025;FR0013504776;FR;CSH15;CAC 40 X15 Short GR;XPAR;0.01;0.01;.01;3;20250502;20250505;15;ESTER;0.02156;0.02168;0.002;0.002;;;;;;6.000000;;;1
FR0013504768;05-05-2025;FR0013504768;FR;ALE10;AEX X10 Leverage NR;XPAR;11900.078;11719.882;11719.88156382;3;20250502;20250505;10;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-9.000000;;;0
FR0013364395;05-05-2025;FR0013364395;FR;CAC7S;CAC 40 X7 Short GR;XPAR;20.465;20.611;20.61072559;3;20250502;20250505;7;ESTER;0.02156;0.02168;0.002;0.002;;;;;;12.000000;;;0
FR0013362993;05-05-2025;FR0013362993;FR;CA10L;CAC 40 X10 Leverage NR;XPAR;697.766;682.607;682.60745448;3;20250502;20250505;10;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-9.000000;;;0
FR0013362985;05-05-2025;FR0013362985;FR;AEX7S;AEX X7 Short GR;XPAR;60.707;61.352;61.35198487;3;20250502;20250505;7;ESTER;0.02156;0.02168;0.002;0.002;;;;;;12.000000;;;0
FR0013362878;05-05-2025;FR0013362878;FR;CAC6S;CAC 40 X6 Short GR;XPAR;12.448;12.524;12.52387197;3;20250502;20250505;6;ESTER;0.02156;0.02168;0.002;0.002;;;;;;15.000000;;;0
FR0013362860;05-05-2025;FR0013362860;FR;CAC7L;CAC 40 X7 Leverage NR;XPAR;62.792;61.841;61.84106093;3;20250502;20250505;7;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-12.000000;;;0
FR0013362852;05-05-2025;FR0013362852;FR;CAC6L;CAC 40 X6 Leverage NR;XPAR;2610.503;2576.691;2576.69055241;3;20250502;20250505;6;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-15.000000;;;0
FR0013362837;05-05-2025;FR0013362837;FR;CAC4S;CAC 40 X4 Short GR;XPAR;43.662;43.842;43.84243262;3;20250502;20250505;4;ESTER;0.02156;0.02168;0.002;0.002;;;;;;15.000000;;;0
FR0013362811;05-05-2025;FR0013362811;FR;CAC4L;CAC 40 X4 Leverage NR;XPAR;17889.378;17736.123;17736.12280582;3;20250502;20250505;4;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-15.000000;;;0
FR0013362688;05-05-2025;FR0013362688;FR;CAC3S;CAC 40 X3 Short GR;XPAR;2.737;2.746;2.74556359;3;20250502;20250505;3;ESTER;0.02156;0.02168;0.002;0.002;;;;;;15.000000;;;0
FR0013362662;05-05-2025;FR0013362662;FR;CAC3L;CAC 40 X3 Leverage NR;XPAR;46218.991;45924.393;45924.39272561;3;20250502;20250505;3;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-15.000000;;;0
FR0013361649;05-05-2025;FR0013361649;FR;CA12S;CAC 40 X12 Short GR;XPAR;503.413;509.477;509.47732585;3;20250502;20250505;12;ESTER;0.02156;0.02168;0.002;0.002;;;;;;7.000000;;;0
FR0013361573;05-05-2025;FR0013361573;FR;CA10S;CAC 40 X10 Short GR;XPAR;8186.94;8269.366;8269.36563302;3;20250502;20250505;10;ESTER;0.02156;0.02168;0.002;0.002;;;;;;9.000000;;;0
FR0013361359;05-05-2025;FR0013361359;FR;CAC5L;CAC 40 X5 Leverage NR;XPAR;3234.727;3199.922;3199.92240223;3;20250502;20250505;5;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-15.000000;;;0
FR0013360666;05-05-2025;FR0013360666;FR;CAC5S;CAC 40 X5 Short GR;XPAR;339.389;341.128;341.12758957;3;20250502;20250505;5;ESTER;0.02156;0.02168;0.002;0.002;;;;;;15.000000;;;0
FR0013186939;05-05-2025;FR0013186939;FR;C12LE;CAC 40 X12 Leverage NR;XPAR;2.921;2.844;2.84444732;3;20250502;20250505;12;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-7.000000;;;0
BE0389916736;05-05-2025;BE0389916736;BE;BE3LN;BEL 20 X3 Leverage NR;XBRU;23021.692;23379.463;23379.46281545;3;20250502;20250505;3;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-15.000000;;;0
BE0389915720;05-05-2025;BE0389915720;BE;BEL5S;BEL 20 X5 Short GR;XBRU;146.529;142.779;142.77939238;3;20250502;20250505;5;ESTER;0.02156;0.02168;0.002;0.002;;;;;;15.000000;;;0
BE0389914715;05-05-2025;BE0389914715;BE;BEL5L;BEL 20 X5 Leverage NR;XBRU;520.082;533.482;533.48174669;3;20250502;20250505;5;ESTER;0.02156;0.02168;0;0;0.003;0.003;;;;-15.000000;;;0
